orientation x, orientation y, orientation z, accel x, accel y, accel z
0, 0, 0, -34.179688, 8.300781, 1036.1328
0.02742334, 0.027620764, 0.022647522, -41.992188, 12.6953125, 1047.8516
0.04767466, 0.040751457, -0.011891708, -41.503906, 25.390625, 1065.918
0.072389774, 0.035374276, 0.014068119, -24.902344, 12.6953125, 1060.5469
0.09547969, 0.025663476, 0.007737013, -39.55078, 6.8359375, 1062.5
0.1174151, 0.030179871, -0.0093492195, -29.296875, 2.4414063, 1067.8711
0.1356288, 0.033209313, -0.0068385825, -28.320313, 5.859375, 1066.4063
0.15666223, 0.033438914, -0.012818186, -37.597656, -2.9296875, 1089.3555
0.17708373, 0.026252186, -0.008552816, -18.554688, 1.4648438, 1096.1914
0.19186169, 0.02789841, -0.0108936895, -34.66797, 3.90625, 1090.332
0.2055727, 0.031528067, -0.013195875, -31.25, -5.3710938, 1086.9141
0.21987484, 0.02848485, -0.011299941, -29.296875, -9.277344, 1102.5391
0.23454624, 0.02614747, -0.009609686, -33.691406, -22.460938, 1096.6797
0.24292983, 0.026879437, -0.011150224, -39.0625, -12.6953125, 1109.375
0.25114945, 0.031706184, -0.013028414, -43.945313, -7.3242188, 1109.375
0.2611185, 0.02854352, -0.0105161015, -29.296875, -25.878906, 1097.6563
0.27052978, 0.026164431, -0.008920487, -24.902344, -20.996094, 1114.7461
0.27300695, 0.03162373, -0.011130884, -34.66797, -5.3710938, 1101.0742
0.27613014, 0.034692932, -0.0063245664, -40.039063, -21.484375, 1108.8867
0.27532253, 0.036911525, -0.0068351207, -39.0625, 0, 1091.7969
0.27390978, 0.04191762, -0.009210201, -30.761719, -10.253906, 1099.1211
0.27293104, 0.046298698, -0.007606913, -43.45703, -11.71875, 1095.2148
0.26849875, 0.049904782, -0.007202412, -34.179688, -5.859375, 1088.3789
0.25631195, 0.05852574, -0.0044651, -35.64453, -14.160156, 1086.4258
0.2467666, 0.06693232, -0.0076314537, -34.66797, -11.230469, 1089.8438
0.23985729, 0.06504299, -0.004053583, -29.785156, -14.160156, 1067.8711
0.22830662, 0.07261657, -0.0045768833, -32.714844, -12.207031, 1081.543
0.2122798, 0.08217539, -0.0039251456, -33.203125, 1.953125, 1064.9414
0.19839287, 0.08472327, -0.0027581768, -24.902344, 6.3476563, 1063.4766
0.18346073, 0.08621283, 0.0010342579, -28.320313, -6.3476563, 1052.2461
0.16304755, 0.09357234, 0.0011938137, -19.53125, 13.671875, 1038.5742
0.14436899, 0.1041502, -0.0006840307, -26.367188, 3.90625, 1039.0625
0.12916383, 0.106860764, 0.0020822329, -28.320313, 10.253906, 1033.6914
0.11196527, 0.10949846, 0.0032307503, -24.902344, 2.4414063, 1026.8555
0.091313705, 0.115025714, 0.0031207553, -14.6484375, 14.160156, 1018.0664
0.073523164, 0.1184614, 0.009271426, -19.042969, 4.3945313, 1000.97656
0.056051455, 0.12238073, 0.01376685, -20.996094, 12.6953125, 1012.6953
0.039258186, 0.1252453, 0.015718214, -31.738281, 22.949219, 1010.7422
0.023769721, 0.13047518, 0.019085271, -17.089844, 22.460938, 996.58203
0.008528712, 0.12601262, 0.027254535, -23.925781, 20.507813, 1005.8594
-0.0066819508, 0.12465844, 0.030220376, -31.25, 34.179688, 983.8867
-0.020807106, 0.12179001, 0.037212186, -31.25, 33.691406, 988.76953
-0.037213195, 0.123529494, 0.042000346, -17.578125, 31.25, 968.2617
-0.04812225, 0.12539396, 0.046225123, -23.4375, 30.273438, 985.83984
-0.055140417, 0.12571722, 0.05262229, -30.761719, 41.503906, 971.6797
-0.064706944, 0.12841071, 0.054407626, -35.64453, 46.875, 972.16797
-0.07504543, 0.12937853, 0.05412723, -44.921875, 54.6875, 977.53906
-0.07914292, 0.12866843, 0.05916513, -37.597656, 43.945313, 980.95703
-0.08513263, 0.13028963, 0.058883604, -42.48047, 45.898438, 975.58594
-0.08674294, 0.13485704, 0.06122587, -47.36328, 55.664063, 968.75
-0.08378175, 0.13099182, 0.06515567, -52.246094, 65.91797, 981.4453
-0.07969678, 0.12863986, 0.07103079, -37.597656, 41.503906, 974.1211
-0.07831958, 0.13108926, 0.07223237, -52.246094, 60.058594, 974.1211
-0.0735749, 0.13469099, 0.072155535, -55.17578, 45.898438, 980.95703
-0.065141715, 0.13160858, 0.075997114, -39.0625, 44.921875, 994.1406
-0.058990076, 0.1335633, 0.072125986, -63.476563, 39.55078, 993.65234
-0.0523748, 0.13547522, 0.07258485, -53.710938, 46.875, 987.79297
-0.03925195, 0.13958906, 0.07323441, -59.570313, 46.875, 995.60547
-0.030445155, 0.14038551, 0.06803456, -64.94141, 33.691406, 989.2578
-0.02124089, 0.1412214, 0.06568653, -47.36328, 29.785156, 996.58203
-0.0070908936, 0.14455964, 0.061654393, -56.152344, 30.273438, 989.7461
0.0046060774, 0.1464428, 0.05659703, -32.714844, 25.390625, 1003.41797
0.016668692, 0.14734955, 0.049920004, -53.222656, 32.714844, 989.2578
0.03222817, 0.15069118, 0.04875233, -57.128906, 27.34375, 1008.3008
0.045784414, 0.1536282, 0.044846293, -50.78125, 19.53125, 1008.3008
0.05823846, 0.15449688, 0.03658017, -43.945313, 17.089844, 1020.01953
0.07161783, 0.1556426, 0.032196134, -39.0625, 14.160156, 1013.6719
0.08378796, 0.15909204, 0.03200193, -24.902344, -0.48828125, 1022.46094
0.094943285, 0.15949805, 0.02392219, -41.503906, -6.3476563, 1018.0664
0.1033022, 0.16117537, 0.019876363, -30.761719, 7.8125, 1010.7422
0.1136419, 0.1624249, 0.016766824, -30.273438, -14.6484375, 1013.1836
0.123317026, 0.1625402, 0.016843686, -30.273438, 5.859375, 1017.08984
0.12885356, 0.16306183, 0.010712316, -19.53125, -12.6953125, 1022.46094
0.13622901, 0.16394219, 0.0054692905, -22.949219, -1.953125, 1018.5547
0.14404005, 0.16261685, 0.0011266912, -11.230469, -0.48828125, 1018.0664
0.14688092, 0.16672665, -0.0031819711, -18.066406, -12.207031, 1013.1836
0.1483926, 0.16589707, -0.008085728, -19.53125, -14.160156, 1024.9023
0.1523027, 0.16529906, -0.008085728, -21.972656, -21.484375, 1024.9023
0.15303782, 0.16698211, -0.010397503, -20.019531, -11.230469, 1029.2969
0.15514301, 0.16717437, -0.015569158, -8.7890625, -14.160156, 1008.3008
0.15971348, 0.16467215, -0.010749385, -22.949219, -34.66797, 1027.3438
0.15889257, 0.16243854, -0.012935269, -8.7890625, -24.414063, 1021.4844
0.1554415, 0.1626634, -0.014479945, -17.089844, -9.277344, 1023.4375
0.154645, 0.1602918, -0.0057721753, -23.4375, -14.160156, 1016.60156
0.15259986, 0.15842113, -0.0051712343, -20.507813, -5.3710938, 1018.0664
0.14756063, 0.1599146, -0.0024926385, -30.273438, -6.8359375, 1021.4844
0.14107853, 0.16253625, -0.0001686851, -22.949219, -3.4179688, 1035.6445
0.13612767, 0.16001463, 0.00258385, -16.601563, 1.953125, 1017.5781
0.12756379, 0.16527148, 0.0038741664, -32.714844, 0, 1022.46094
0.11880586, 0.16570476, 0.0060221627, -32.714844, 2.9296875, 1012.6953
0.111738235, 0.16102766, 0.009376452, -37.109375, 2.4414063, 1016.1133
0.10201229, 0.16467372, 0.013591338, -44.921875, -4.8828125, 1015.625
0.09126446, 0.16434918, 0.018516632, -43.945313, 12.6953125, 1007.8125
0.084869124, 0.16071548, 0.022786245, -45.410156, 17.578125, 1004.8828
0.07575521, 0.15825383, 0.030356752, -45.898438, 20.019531, 1003.41797
0.06275459, 0.16012068, 0.032137, -28.320313, 20.996094, 1010.2539
0.052756026, 0.15789232, 0.03594459, -50.78125, 22.460938, 1003.90625
0.045052335, 0.1538978, 0.04196488, -45.898438, 16.601563, 987.3047
0.038345296, 0.15009212, 0.04477204, -45.410156, 18.554688, 995.60547
0.02888614, 0.15297304, 0.046733312, -42.48047, 21.972656, 988.76953
0.020558279, 0.15139697, 0.050547004, -46.875, 35.64453, 995.1172
0.014815748, 0.15064213, 0.055486917, -47.36328, 27.832031, 978.02734
0.0077286474, 0.15157513, 0.055420946, -43.945313, 23.925781, 975.09766
-0.0014627762, 0.15404901, 0.052851915, -49.316406, 31.25, 976.5625
-0.0068021845, 0.15584499, 0.05885147, -42.96875, 29.785156, 974.6094
-0.010669283, 0.1589935, 0.05949441, -46.38672, 22.460938, 978.02734
-0.015516441, 0.16032483, 0.059719425, -38.085938, 31.738281, 969.2383
-0.019900098, 0.15805642, 0.05720217, -43.45703, 35.64453, 970.7031
-0.019774381, 0.16010658, 0.058923535, -45.410156, 30.761719, 967.77344
-0.019916996, 0.16387165, 0.05977923, -48.828125, 35.64453, 979.98047
